trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-143.12086034491728,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-166.36566270335229,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,0,-220.3713933904876,"{0: 18, 1: 3, 2: 3, 3: 2, 4: 4}",0
4,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-133.67738408275105,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-208.67928276782348,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
6,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-129.50245445386798,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,7,-148.80754114787223,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 3}",1
8,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-130.24115400266484,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",1
9,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-50.82453128194894,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-176.66564490932234,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-160.57860763436875,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-131.1012350228806,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,0,-160.71476886011445,"{0: 19, 1: 3, 2: 3, 3: 3, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,5,-139.53930241493077,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",1
15,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-187.49403830101488,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-106.28963170700025,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-187.161114440009,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
18,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-109.17705967353704,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-97.7343660728585,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-58.69348289272061,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9758974493306055}",30,0,-251.7814434279231,"{0: 16, 1: 1, 2: 8, 3: 1, 4: 4}",0
22,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,0,-130.27855048332327,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-150.6315154028438,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9689124217106447}",30,0,-220.37115867359125,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 4}",0
25,False,"{'a': 0.01, 'e': 0.9663899781345132}",30,6,-163.3249968245353,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 2}",1
26,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-5.388360438103441,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,11,8.231327885583134,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-122.11977893481163,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-57.10064911283018,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.9523335698857134}",30,0,-66.95900972945705,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,12,-53.370327880854866,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-229.68375171663146,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
33,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-104.37435390867077,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,13,-12.276225982382773,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-88.5510609078339,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",1
36,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,6,-83.25188442044042,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
37,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,0,-132.85273383484443,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-116.76823253389324,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-131.78380650727078,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.9171208228166051}",30,0,-119.18616424217554,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-68.01964276786222,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-135.04102758274172,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9047516632199635}",25,0,-100.5229765363449,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-184.98276730744334,"{0: 9, 1: 3, 2: 2, 3: 4, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-39.001389817135994,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8915682881953289}",20,0,-44.28924296330024,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,4,-48.56872027910188,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.01, 'e': 0.8823328586101216}",20,0,-138.81771946731408,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
49,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,8,-14.863337302795255,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-107.45125890445526,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-138.8904319875594,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-107.38440966856368,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-115.43110697871909,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-65.11923874717267,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-47.18454143289058,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-160.0675684020814,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
57,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-128.08853716212482,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
58,False,"{'a': 0.01, 'e': 0.8309406791001634}",30,0,-109.46442722434125,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,2.835048658585934,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-53.63767928041185,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,5,-31.078396511602747,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,10,8.4980848944962,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,0,-89.21776448068046,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.7960837985490559}",30,0,-187.01395967415792,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
65,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-132.00458572182055,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-60.900643031313,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-76.24152452356884,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,0,-113.93916932451023,"{0: 24, 1: 2, 2: 0, 3: 1, 4: 3}",0
69,False,"{'a': 0.01, 'e': 0.7648421872844884}",30,6,-89.77993315623247,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 2}",1
70,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,8,-10.742998917634976,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.751805729140895}",25,0,-47.80342058709869,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.7451744023448704}",30,0,-150.28324541926284,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
73,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,5,-60.42374206006804,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
74,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,12.46486260498588,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,0,-7.2721851873444185,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,5,-118.1823939917568,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",1
77,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,3,-14.40951335311084,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,0,-49.11298805756006,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.6967067093471655}",20,13,-9.643993367745905,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6894984329517471}",20,0,-89.783649389618,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
81,False,"{'a': 0.01, 'e': 0.6822212072876136}",30,22,13.671309729292442,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,0,-51.18129005958653,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,0,-75.16797993954815,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-52.872855388818074,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6524374681640519}",35,0,-130.19013237565838,"{0: 23, 1: 1, 2: 8, 3: 2, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,13,-42.99399658189437,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,9,16.49435274324525,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,1,-59.822559975074874,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,7,-4.276064580960582,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-37.58672640137972,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,0,-10.95706461155339,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,4,-133.88112093728182,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 3}",1
93,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,0,-111.50615902413281,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
94,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,0,0.5100542571161493,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.5735199860724567}",30,0,-8.945021490646273,"{0: 23, 1: 6, 2: 1, 3: 0, 4: 0}",0
96,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,0,-89.05456708424539,"{0: 18, 1: 4, 2: 0, 3: 1, 4: 2}",0
97,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,0,-52.78169967176988,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5486898605815876}",35,11,-70.42765624516754,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.5403023058681398}",35,0,-38.04881086531248,"{0: 28, 1: 4, 2: 2, 3: 0, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,12,-1.2227328693910329,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5233659512516496}",30,0,6.283736895106797,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,6,0.4143159895638677,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,0,-14.855828053361392,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.497571047891727}",25,14,-4.991365379806483,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.48887208186052755}",30,0,-42.712436176794114,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,6,5.243651845048447,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,14,8.263593852583345,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.4624853668753008}",35,4,-73.2094458106583,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,17,1.4150333723278354,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.44466151674170673}",20,10,19.550226743049166,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.43568244627671204}",25,0,-6.725099313586172,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,0,4.754019343101278,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,18,23.609146912989946,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.40848744088415717}",35,21,-34.056624264453404,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,0,8.774363771969345,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,15,18.032886647052376,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3809248243668818}",25,0,-12.53856349551059,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
118,False,"{'a': 0.01, 'e': 0.371659872260533}",25,13,7.4363280044680815,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,11,24.735932458965625,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,8,-2.9782075266866883,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.34364574631604705}",30,0,-0.7453150594526408,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,3,22.221779540539305,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.32479628443877623}",30,17,17.497397096913545,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,5,28.99318701305536,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3058169083782893}",30,13,0.08885439278507468,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
