trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.3276312244802,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.41102315531185,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.05358622208465,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.37686007547848,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-285.08784347140295,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 5}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.70509678229739,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.572851438531,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.54999808174506,"{0: 12, 1: 8, 2: 1, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.68054927426667,"{0: 10, 1: 5, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.3934836997969,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.21593778565989,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.97838248616938,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-36.48385833894208,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.08281461791682,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-232.19812630636005,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.27923590813504,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.78508502574735,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.02128832204478,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.19102837529054,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.252281056505,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.65732929483353,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-188.0089519989359,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-223.98705198041048,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-22.7945855936994,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-110.93075586789064,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.08466418307063,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-211.4479191784301,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.872378431787446,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.59299840459775,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,5,-19.876546113522917,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
